total key:5240
Qtable's state : 44	 , action : East	,key's item : 0
Qtable's state : 44	 , action : North	,key's item : 0
Qtable's state : 44	 , action : South	,key's item : -0.9
Qtable's state : 43	 , action : Stop	,key's item : -450.90000000000003
Qtable's state : 43	 , action : East	,key's item : 0
Qtable's state : 43	 , action : North	,key's item : 0
Qtable's state : 43	 , action : South	,key's item : 0
Qtable's state : 35	 , action : West	,key's item : 0
Qtable's state : 35	 , action : Stop	,key's item : 0
Qtable's state : 35	 , action : East	,key's item : -0.9
Qtable's state : 45	 , action : West	,key's item : -0.9
Qtable's state : 45	 , action : Stop	,key's item : 0
Qtable's state : 45	 , action : East	,key's item : 0
Qtable's state : 45	 , action : South	,key's item : 0
Qtable's state : 35	 , action : West	,key's item : 0
Qtable's state : 35	 , action : Stop	,key's item : -0.9
Qtable's state : 35	 , action : East	,key's item : 0
Qtable's state : 35	 , action : West	,key's item : 0
Qtable's state : 35	 , action : Stop	,key's item : -0.9
Qtable's state : 35	 , action : East	,key's item : 0
Qtable's state : 35	 , action : West	,key's item : 0
Qtable's state : 35	 , action : Stop	,key's item : 0
Qtable's state : 35	 , action : East	,key's item : -0.9
Qtable's state : 45	 , action : West	,key's item : 0
Qtable's state : 45	 , action : Stop	,key's item : -0.9
Qtable's state : 45	 , action : East	,key's item : 0
Qtable's state : 45	 , action : South	,key's item : 0
Qtable's state : 45	 , action : West	,key's item : 0
Qtable's state : 45	 , action : Stop	,key's item : -0.9
Qtable's state : 45	 , action : East	,key's item : 0
Qtable's state : 45	 , action : South	,key's item : 0
Qtable's state : 45	 , action : West	,key's item : 0
Qtable's state : 45	 , action : Stop	,key's item : 0
Qtable's state : 45	 , action : East	,key's item : 0
Qtable's state : 45	 , action : South	,key's item : -0.9
Qtable's state : 44	 , action : Stop	,key's item : 0
Qtable's state : 44	 , action : East	,key's item : 8.1
Qtable's state : 44	 , action : North	,key's item : 0
Qtable's state : 44	 , action : South	,key's item : 0
Qtable's state : 54	 , action : West	,key's item : 0
Qtable's state : 54	 , action : Stop	,key's item : 0
Qtable's state : 54	 , action : East	,key's item : 0
Qtable's state : 54	 , action : North	,key's item : 0
Qtable's state : 54	 , action : South	,key's item : -0.9
Qtable's state : 53	 , action : West	,key's item : 0
Qtable's state : 53	 , action : Stop	,key's item : -450.90000000000003
Qtable's state : 53	 , action : East	,key's item : 0
Qtable's state : 53	 , action : North	,key's item : 0
Qtable's state : 53	 , action : South	,key's item : 0
Qtable's state : 14	 , action : Stop	,key's item : 6.019551
Qtable's state : 14	 , action : East	,key's item : 8.991
Qtable's state : 14	 , action : North	,key's item : -0.9
Qtable's state : 14	 , action : South	,key's item : -0.99999
Qtable's state : 15	 , action : Stop	,key's item : 0
Qtable's state : 15	 , action : East	,key's item : 0
Qtable's state : 15	 , action : South	,key's item : -0.9
Qtable's state : 14	 , action : Stop	,key's item : -0.9
Qtable's state : 14	 , action : East	,key's item : 8.1
Qtable's state : 14	 , action : North	,key's item : 0
Qtable's state : 14	 , action : South	,key's item : 0
Qtable's state : 24	 , action : West	,key's item : 0
Qtable's state : 24	 , action : Stop	,key's item : 0
Qtable's state : 24	 , action : North	,key's item : -0.9
Qtable's state : 24	 , action : South	,key's item : 0
Qtable's state : 25	 , action : West	,key's item : 0
Qtable's state : 25	 , action : Stop	,key's item : 0
Qtable's state : 25	 , action : East	,key's item : -0.9
Qtable's state : 25	 , action : South	,key's item : 0
Qtable's state : 35	 , action : West	,key's item : 0
Qtable's state : 35	 , action : Stop	,key's item : 0
Qtable's state : 35	 , action : East	,key's item : -0.9
Qtable's state : 45	 , action : West	,key's item : 0
Qtable's state : 45	 , action : Stop	,key's item : 0
Qtable's state : 45	 , action : East	,key's item : -450.90000000000003
