total key:6881
Qtable's state : 15	 , action : East	,key's item : -1.4939672821400796
Qtable's state : 15	 , action : South	,key's item : -1.3374828460276773
Qtable's state : 35	 , action : West	,key's item : -1.5037900335670304
Qtable's state : 35	 , action : Stop	,key's item : -1.5120518323691323
Qtable's state : 35	 , action : East	,key's item : -1.591186353676048
Qtable's state : 15	 , action : Stop	,key's item : -1.3903942656000001
Qtable's state : 15	 , action : East	,key's item : -1.4028918300672
Qtable's state : 15	 , action : South	,key's item : -1.397387109091212
Qtable's state : 14	 , action : Stop	,key's item : -1.2552943706111999
Qtable's state : 14	 , action : North	,key's item : -1.4115823513835668
Qtable's state : 14	 , action : South	,key's item : -0.3612577142805805
Qtable's state : 14	 , action : Stop	,key's item : -1.22719832064
Qtable's state : 14	 , action : North	,key's item : -1.2290017222262783
Qtable's state : 14	 , action : South	,key's item : -1.1459712
Qtable's state : 14	 , action : Stop	,key's item : -1.038144
Qtable's state : 14	 , action : North	,key's item : -1.0583479197696
Qtable's state : 14	 , action : South	,key's item : -1.02175451136
Qtable's state : 13	 , action : Stop	,key's item : -0.9492096
Qtable's state : 13	 , action : North	,key's item : -0.84
Qtable's state : 13	 , action : South	,key's item : -0.30903997357158836
Qtable's state : 13	 , action : Stop	,key's item : -0.7305600000000001
Qtable's state : 13	 , action : North	,key's item : -0.7610496
Qtable's state : 13	 , action : South	,key's item : -0.6
Qtable's state : 13	 , action : Stop	,key's item : -0.7440892108799999
Qtable's state : 13	 , action : North	,key's item : 0
Qtable's state : 13	 , action : South	,key's item : 2.3866527375359996
Qtable's state : 13	 , action : Stop	,key's item : -0.65417472
Qtable's state : 13	 , action : North	,key's item : -0.6
Qtable's state : 13	 , action : South	,key's item : -0.744
Qtable's state : 14	 , action : Stop	,key's item : -0.36
Qtable's state : 14	 , action : North	,key's item : 0
Qtable's state : 14	 , action : South	,key's item : -0.6
Qtable's state : 13	 , action : Stop	,key's item : -0.5904
Qtable's state : 13	 , action : North	,key's item : -0.6864
Qtable's state : 13	 , action : South	,key's item : -300.59999999999997
Qtable's state : 14	 , action : Stop	,key's item : -0.6
Qtable's state : 14	 , action : North	,key's item : -0.6864
Qtable's state : 14	 , action : South	,key's item : 0
Qtable's state : 14	 , action : Stop	,key's item : -300.59999999999997
Qtable's state : 14	 , action : North	,key's item : -0.6
Qtable's state : 14	 , action : South	,key's item : -180.35999999999999
Qtable's state : 35	 , action : West	,key's item : -1.4825465586440214
Qtable's state : 35	 , action : Stop	,key's item : -1.411219390850074
Qtable's state : 35	 , action : East	,key's item : -1.6414645527054383
Qtable's state : 25	 , action : West	,key's item : -1.6620844453312582
Qtable's state : 25	 , action : Stop	,key's item : -1.6920436899113256
Qtable's state : 25	 , action : East	,key's item : -418.91616
Qtable's state : 15	 , action : Stop	,key's item : -449.69759999999997
Qtable's state : 15	 , action : East	,key's item : -492.791616
Qtable's state : 15	 , action : South	,key's item : -0.5680698057085012
Qtable's state : 14	 , action : Stop	,key's item : -431.22873599999997
Qtable's state : 14	 , action : North	,key's item : -475.86182399999996
Qtable's state : 14	 , action : South	,key's item : 1.18122389220985
Qtable's state : 35	 , action : West	,key's item : -2.2171975436774196
Qtable's state : 35	 , action : Stop	,key's item : -1.9106102613386633
Qtable's state : 35	 , action : East	,key's item : -2.1861746240104574
Qtable's state : 25	 , action : West	,key's item : -2.3493466606481292
Qtable's state : 25	 , action : Stop	,key's item : -2.311717693187137
Qtable's state : 25	 , action : East	,key's item : -2.328955317679012
Qtable's state : 15	 , action : Stop	,key's item : -498.759460516823
Qtable's state : 15	 , action : East	,key's item : -3.0758789780285873
Qtable's state : 15	 , action : South	,key's item : -496.88136124416
Qtable's state : 45	 , action : West	,key's item : -1.8753840710050556
Qtable's state : 45	 , action : Stop	,key's item : -1.9005467755840608
Qtable's state : 45	 , action : East	,key's item : -1.8845780310504425
Qtable's state : 45	 , action : West	,key's item : -1.8698060359171649
Qtable's state : 45	 , action : Stop	,key's item : -1.6930588181622566
Qtable's state : 45	 , action : East	,key's item : -1.8672732576711184
Qtable's state : 55	 , action : West	,key's item : -1.5379618253500635
Qtable's state : 55	 , action : Stop	,key's item : -1.1693526665875886
Qtable's state : 55	 , action : South	,key's item : -1.5305674167141092
Qtable's state : 55	 , action : West	,key's item : -2.1528545477685244
Qtable's state : 55	 , action : Stop	,key's item : -1.8449694358545348
Qtable's state : 55	 , action : South	,key's item : 5.291707876895103
Qtable's state : 55	 , action : West	,key's item : -1.7232052465714798
Qtable's state : 55	 , action : Stop	,key's item : -1.6944934323105159
Qtable's state : 55	 , action : South	,key's item : -1.5702129902241773
Qtable's state : 45	 , action : West	,key's item : -492.791616
Qtable's state : 45	 , action : Stop	,key's item : -2.082574316245461
Qtable's state : 45	 , action : East	,key's item : -2.0999230455110127
Qtable's state : 15	 , action : Stop	,key's item : -1.4631822231721983
Qtable's state : 15	 , action : East	,key's item : -1.6759341563907744
Qtable's state : 15	 , action : South	,key's item : -0.15763423734025356
Qtable's state : 14	 , action : Stop	,key's item : -0.7701412267129399
Qtable's state : 14	 , action : North	,key's item : -1.6076588333028627
Qtable's state : 14	 , action : South	,key's item : 1.6041708017316343
Qtable's state : 15	 , action : Stop	,key's item : -0.984
Qtable's state : 15	 , action : East	,key's item : -1.23460159488
Qtable's state : 15	 , action : South	,key's item : -0.9066331715644613
Qtable's state : 15	 , action : Stop	,key's item : -1.11991425024
Qtable's state : 15	 , action : East	,key's item : -1.1566563808585444
Qtable's state : 15	 , action : South	,key's item : -1.13240751292416
Qtable's state : 25	 , action : West	,key's item : -1.476024825971941
Qtable's state : 25	 , action : Stop	,key's item : -1.6265369114373838
Qtable's state : 25	 , action : East	,key's item : -1.6524792588615709
Qtable's state : 25	 , action : West	,key's item : -1.3082770022399999
Qtable's state : 25	 , action : Stop	,key's item : -1.3426646253145051
Qtable's state : 25	 , action : East	,key's item : -1.3367190528
Qtable's state : 14	 , action : Stop	,key's item : -0.7378560000000001
Qtable's state : 14	 , action : North	,key's item : -0.731403030528
Qtable's state : 14	 , action : South	,key's item : -0.6
Qtable's state : 13	 , action : Stop	,key's item : -0.6
Qtable's state : 13	 , action : North	,key's item : -0.84
Qtable's state : 13	 , action : South	,key's item : -0.6
Qtable's state : 14	 , action : Stop	,key's item : -0.6
Qtable's state : 14	 , action : North	,key's item : 0
Qtable's state : 14	 , action : South	,key's item : -0.84
Qtable's state : 13	 , action : Stop	,key's item : -0.36
Qtable's state : 13	 , action : North	,key's item : -0.84
Qtable's state : 13	 , action : South	,key's item : 2.4839489079410684
Qtable's state : 14	 , action : Stop	,key's item : 0
Qtable's state : 14	 , action : North	,key's item : -300.59999999999997
Qtable's state : 14	 , action : South	,key's item : -0.84
Qtable's state : 14	 , action : Stop	,key's item : 0.021545349498836117
Qtable's state : 14	 , action : North	,key's item : -1.6567549661482746
Qtable's state : 14	 , action : South	,key's item : 2.320662847798556
Qtable's state : 15	 , action : Stop	,key's item : -1.50776542867074
Qtable's state : 15	 , action : East	,key's item : -1.5746519500112073
Qtable's state : 15	 , action : South	,key's item : -0.794274734256021
Qtable's state : 25	 , action : West	,key's item : -1.2994613929853063
Qtable's state : 25	 , action : Stop	,key's item : -1.3598561279999999
Qtable's state : 25	 , action : East	,key's item : -1.3032625152
Qtable's state : 35	 , action : West	,key's item : -1.06990027982635
Qtable's state : 35	 , action : Stop	,key's item : -1.00128
Qtable's state : 35	 , action : East	,key's item : -0.9486197759999999
Qtable's state : 45	 , action : West	,key's item : -0.84
Qtable's state : 45	 , action : Stop	,key's item : -0.84
Qtable's state : 45	 , action : East	,key's item : -0.654323011584
Qtable's state : 35	 , action : West	,key's item : -0.7610496
Qtable's state : 35	 , action : Stop	,key's item : -0.66980235264
Qtable's state : 35	 , action : East	,key's item : -0.6
